num_parque;nombre_parque;dimension_ha
0;VIAL;0.0
1;JARDINES DEL BUEN RETIRO;113.76
2;PARQUE DEL OESTE;69.6348
3;QUINTA DE LOS MOLINOS;21.2619
4;QUINTA DE LA FUENTE DEL BERRO;7.42
5;"JARD÷N ""EL CAPRICHO"" DE LA  ALAMEDA DE OSUNA";17.163
6;JARDINES DE SABATINI;2.6589
7;JARDINES DE LA PLAZA DE ORIENTE;2.8996
8;DEHESA DE LA VILLA;64.5309
9;PARQUE MADRID RIO;121.0881
10;PARQUE LINEAL DEL MANZANARES;44.7342
11;PARQUE JUAN PABLO II;28.22
12;PARQUE JUAN CARLOS I;147.3974
13;µRBOLES DE AIRE;1.2622
14;ZONAS VERDES DISTRITO C - LAS TABLAS;22.0
15;PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;385.63
16;PARQUE PRINCESA LEONOR;78.0
17;PARQUE DE LA CASA DE CAMPO;1722.6
18;µrea Forestal de Tres Cantos;228.56
19;CU•A VERDE DE OÔDONNELL Y FUENTE CARRANTONA;63.3041
20;VIVERO ESTUFAS RETIRO;3.23
21;VIVERO DE LA CASA DE CAMPO;18.39
22;VIVERO DE MIGAS CALIENTES;7.3
23;LABORATORIO DE CULTIVO IN VITRO;0.4
24;"ROSALEDA DE MADRID ""RAMON ORTIZ""";1.77
25;TALLERES ESTUFAS RETIRO;0.74
26;JARDINES DE LA PLAZA DE ESPA•A;4.0913
27;PARQUE DE LA GAVIA;39.0
28;PARQUE DE LA ATALAYUELA;9.6
29;QUINTA DE TORRE ARIAS;18.44
30;BOSQUE DE LOS ABRAZOS PERDIDOS;9.8
31;PARQUE LINEAL DE MANZANARES SUR;34.0
32;PARQUE DE LAS COMUNIDADES;19.0
