NUM_DTO;NBRE_DTO;superficie_km2;poblacion
1;CENTRO;5.2282;139682.0
2;ARGANZUELA;6.4622;152638.0
3;RETIRO;5.4662;117672.0
4;SALAMANCA;5.3924;145457.0
5;CHAMARTIN;9.1755;144371.0
6;TETUAN;5.374700000000001;157433.0
7;CHAMBERI;4.6792;137287.0
8;FUENCARRAL-EL PARDO;237.8384;246281.0
9;MONCLOA-ARAVACA;46.531099999999995;120360.0
10;LATINA;25.4272;237048.0
11;CARABANCHEL;14.0483;255514.0
12;USERA;7.777699999999999;140808.0
13;PUENTE DE VALLECAS;14.968599999999999;235638.0
14;MORATALAZ;6.1032;92390.0
15;CIUDAD LINEAL;11.425699999999999;213905.0
16;HORTALEZA;27.6261;195017.0
17;VILLAVERDE;20.1876;153829.0
18;VILLA DE VALLECAS;51.467200000000005;114817.0
19;VICALVARO;35.2667;79328.0
20;SAN BLAS-CANILLEJAS;22.292399999999997;158783.0
21;BARAJAS;41.716499999999996;48404.0
99;OTROS MUNICIPIOS;;
